Handle,Command,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Image Command,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status,Metafield: custom.style_code [single_line_text_field],Metafield: custom.fabric [single_line_text_field],Metafield: custom.colour [single_line_text_field],Metafield: custom.fit [single_line_text_field],Metafield: custom.neckline [single_line_text_field],Metafield: custom.sleeves [single_line_text_field],Metafield: custom.bottom [single_line_text_field],Metafield: custom.dupatta [single_line_text_field],Metafield: custom.pattern [single_line_text_field],Metafield: custom.length [single_line_text_field],Metafield: custom.care_instructions [single_line_text_field],Metafield: custom.net_quantity [single_line_text_field],Metafield: custom.model_size [single_line_text_field],Metafield: custom.country_of_origin [single_line_text_field],Metafield: custom.marketed_by [multi_line_text_field],Metafield: custom.manufactured_by [multi_line_text_field]
sage-green-embroidered-shimmer-tissue-straight-kurta-pant-dupatta-set,MERGE,Sage Green Embroidered Shimmer Tissue Straight Kurta Pant Dupatta Set,"<p>This elegant Sage Green Embroidered 3-Piece Kurta Pant Dupatta Set, crafted from luxurious Shimmer Tissue fabric that offers a graceful sheen and sophisticated appeal. The straight-fit kurta is beautifully adorned with intricate embroidery on the yoke, sleeves, and hem, complemented by delicate woven motifs for a refined ethnic look. Paired with matching straight pants and a coordinated shimmer tissue dupatta featuring rich woven gold accents and an elegant border, this ensemble is perfect for weddings, festive celebrations, and special occasions.</p><p>Sea Green Embroidered 3-Piece Kurta Pant Dupatta Set, crafted from premium Cotton Flex fabric for breathable comfort and an elegant drape. The straight-fit kurta features delicate floral embroidery with intricate lace detailing on the neckline, front panel, and hem, creating a sophisticated yet graceful look. Paired with matching straight pants and a coordinated lightweight dupatta, this ensemble is perfect for festive celebrations, office wear, family gatherings, and daytime occasions.</p>",Raa Vedic,Kurta Set,"3 Piece Set, Shimmer Tissue, Above 3500, Under the Neem Trees, New Arrival, Sage Green, Bestseller, Straight Fit, Embroidered, Festive, Wedding, Office Wear, Family Gatherings",TRUE,Size,S,10007-SAGEGREE-S,700,shopify,10,deny,manual,3999,,TRUE,TRUE,8903629425013,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10007-sage-green-jul-01.jpg,1,"Sage Green Embroidered Shimmer Tissue Straight Kurta Pant Dupatta Set, view 1",REPLACE,FALSE,Sage Green Embroidered Shimmer Tissue Straight Kurta Pant Dupatta Set ,"This elegant Sage Green Embroidered 3-Piece Kurta Pant Dupatta Set, crafted from luxurious Shimmer Tissue fabric that offers a graceful sheen and sophisticated appeal. The straight-fit kurta is beautifully adorned with intricate embroidery on the yoke, sleeves, and hem, complemented by delicate woven motifs for a refin",g,active,10007,Shimmer Tissue,Sage Green,Straight Fit,Round V-Neck,Three-Quarter Sleeves,Solid Straight Cotton Flex Pants,Lightweight Coordinated Dupatta,Embroidered,,Gentle Hand Wash or Machine Wash on Delicate Cycle,3,The model (height 5'6) is wearing a size M,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
sage-green-embroidered-shimmer-tissue-straight-kurta-pant-dupatta-set,,,,,,,,Size,M,10007-SAGEGREE-M,700,shopify,10,deny,manual,3999,,TRUE,TRUE,8903629425020,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10007-sage-green-jul-02.jpg,2,"Sage Green Embroidered Shimmer Tissue Straight Kurta Pant Dupatta Set, view 2",,,,,g,,,,,,,,,,,,,,,,,
sage-green-embroidered-shimmer-tissue-straight-kurta-pant-dupatta-set,,,,,,,,Size,L,10007-SAGEGREE-L,700,shopify,10,deny,manual,3999,,TRUE,TRUE,8903629425037,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10007-sage-green-jul-03.jpg,3,"Sage Green Embroidered Shimmer Tissue Straight Kurta Pant Dupatta Set, view 3",,,,,g,,,,,,,,,,,,,,,,,
sage-green-embroidered-shimmer-tissue-straight-kurta-pant-dupatta-set,,,,,,,,Size,XL,10007-SAGEGREE-XL,700,shopify,10,deny,manual,3999,,TRUE,TRUE,8903629425044,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10007-sage-green-jul-04.jpg,4,"Sage Green Embroidered Shimmer Tissue Straight Kurta Pant Dupatta Set, view 4",,,,,g,,,,,,,,,,,,,,,,,
sage-green-embroidered-shimmer-tissue-straight-kurta-pant-dupatta-set,,,,,,,,Size,XXL,10007-SAGEGREE-XXL,700,shopify,10,deny,manual,3999,,TRUE,TRUE,8903629425051,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10007-sage-green-jul-05.jpg,5,"Sage Green Embroidered Shimmer Tissue Straight Kurta Pant Dupatta Set, view 5",,,,,g,,,,,,,,,,,,,,,,,
sage-green-embroidered-shimmer-tissue-straight-kurta-pant-dupatta-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10007-sage-green-jul-06.jpg,6,"Sage Green Embroidered Shimmer Tissue Straight Kurta Pant Dupatta Set, view 6",,,,,,,,,,,,,,,,,,,,,,
sage-green-embroidered-shimmer-tissue-straight-kurta-pant-dupatta-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10007-sage-green-jul-07.jpg,7,"Sage Green Embroidered Shimmer Tissue Straight Kurta Pant Dupatta Set, view 7",,,,,,,,,,,,,,,,,,,,,,
sage-green-embroidered-shimmer-tissue-straight-kurta-pant-dupatta-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10007-sage-green-jul-08.jpg,8,"Sage Green Embroidered Shimmer Tissue Straight Kurta Pant Dupatta Set, view 8",,,,,,,,,,,,,,,,,,,,,,
off-white-embroidered-organza-a-line-kurta-pant-set,MERGE,Off White Embroidered Organza A-Line Kurta Pant Set,"<p>This elegant Off White Embroidered 2-Piece Kurta Pant Set, crafted from premium organza fabric for a graceful and sophisticated look. The A-line kurta features intricate self-embroidered detailing across the front, complemented by delicate lace accents on the yoke and sleeves.</p><p>Paired with matching straight pants, this ensemble offers a perfect blend of timeless elegance and modern comfort.</p>",Raa Vedic,Kurta Set,"2 Piece Set, Organza, 2500 to 3500, Under the Neem Trees, New Arrival, Off White, A Line, Embroidered",TRUE,Size,S,10051-OFFWHITE-S,520,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629426362,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10051-off-white-jul-01.jpg,1,"Off White Embroidered Organza A-Line Kurta Pant Set, view 1",REPLACE,FALSE,Off White Embroidered Organza A-Line Kurta Pant Set | Raa Vedic,"This elegant Off White Embroidered 2-Piece Kurta Pant Set, crafted from premium organza fabric for a graceful and sophisticated look. The A-line kurta features intricate self-embroidered detailing across the front, complemented by delicate lace accents on the yoke and sleeves.Paired with matching straight pants, this e",g,active,10051,Organza,Off White,A-Line,Mandarin V-Neck,Three-Quarter Sleeves,Solid Straight Pants,,Embroidered,,Dry Clean Recommended or Gentle Hand Wash,2,The model (height 5'6) is wearing a size M,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
off-white-embroidered-organza-a-line-kurta-pant-set,,,,,,,,Size,M,10051-OFFWHITE-M,520,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629426379,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10051-off-white-jul-02.jpg,2,"Off White Embroidered Organza A-Line Kurta Pant Set, view 2",,,,,g,,,,,,,,,,,,,,,,,
off-white-embroidered-organza-a-line-kurta-pant-set,,,,,,,,Size,L,10051-OFFWHITE-L,520,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629426386,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10051-off-white-jul-03.jpg,3,"Off White Embroidered Organza A-Line Kurta Pant Set, view 3",,,,,g,,,,,,,,,,,,,,,,,
off-white-embroidered-organza-a-line-kurta-pant-set,,,,,,,,Size,XL,10051-OFFWHITE-XL,520,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629426393,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10051-off-white-jul-04.jpg,4,"Off White Embroidered Organza A-Line Kurta Pant Set, view 4",,,,,g,,,,,,,,,,,,,,,,,
off-white-embroidered-organza-a-line-kurta-pant-set,,,,,,,,Size,XXL,10051-OFFWHITE-XXL,520,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629426409,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10051-off-white-jul-05.jpg,5,"Off White Embroidered Organza A-Line Kurta Pant Set, view 5",,,,,g,,,,,,,,,,,,,,,,,
off-white-embroidered-organza-a-line-kurta-pant-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10051-off-white-jul-06.jpg,6,"Off White Embroidered Organza A-Line Kurta Pant Set, view 6",,,,,,,,,,,,,,,,,,,,,,
navy-embroidered-velvet-straight-kurta-pant-set,MERGE,Navy Embroidered Velvet Straight Kurta Pant Set,"<p>This Navy Embroidered 2-Piece Kurta Pant Set, crafted from luxurious velvet fabric that offers a rich texture and elegant finish. The straight-fit kurta is beautifully adorned with intricate embroidery on the yoke, sleeves, hemline, and front panel, creating a timeless ethnic look.</p><p>Paired with matching straight velvet pants.</p>",Raa Vedic,Kurta Set,"2 Piece Set, Velvet, 2500 to 3500, Under the Neem Trees, New Arrival, Navy, Bestseller, Straight Fit, Embroidered, Festive, Wedding, Evening Wear",TRUE,Size,S,10031-NAVY-S,520,shopify,10,deny,manual,3299,,TRUE,TRUE,8903629389384,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10031-navy-jul-01.jpg,1,"Navy Embroidered Velvet Straight Kurta Pant Set, view 1",REPLACE,FALSE,Navy Embroidered Velvet Straight Kurta Pant Set | Raa Vedic,"This Navy Embroidered 2-Piece Kurta Pant Set, crafted from luxurious velvet fabric that offers a rich texture and elegant finish. The straight-fit kurta is beautifully adorned with intricate embroidery on the yoke, sleeves, hemline, and front panel, creating a timeless ethnic look.Paired with matching straight velvet p",g,active,10031,Velvet,Navy,Straight Fit,Round Neck,Three-Quarter Sleeves,Solid Straight Velvet Pants,,Embroidered,,Dry Clean,2,The model (height 5'6) is wearing a size M,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
navy-embroidered-velvet-straight-kurta-pant-set,,,,,,,,Size,M,10031-NAVY-M,520,shopify,10,deny,manual,3299,,TRUE,TRUE,8903629389391,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10031-navy-jul-02.jpg,2,"Navy Embroidered Velvet Straight Kurta Pant Set, view 2",,,,,g,,,,,,,,,,,,,,,,,
navy-embroidered-velvet-straight-kurta-pant-set,,,,,,,,Size,L,10031-NAVY-L,520,shopify,10,deny,manual,3299,,TRUE,TRUE,8903629389407,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10031-navy-jul-03.jpg,3,"Navy Embroidered Velvet Straight Kurta Pant Set, view 3",,,,,g,,,,,,,,,,,,,,,,,
navy-embroidered-velvet-straight-kurta-pant-set,,,,,,,,Size,XL,10031-NAVY-XL,520,shopify,10,deny,manual,3299,,TRUE,TRUE,8903629389414,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10031-navy-jul-04.jpg,4,"Navy Embroidered Velvet Straight Kurta Pant Set, view 4",,,,,g,,,,,,,,,,,,,,,,,
navy-embroidered-velvet-straight-kurta-pant-set,,,,,,,,Size,XXL,10031-NAVY-XXL,520,shopify,10,deny,manual,3299,,TRUE,TRUE,8903629389421,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10031-navy-jul-05.jpg,5,"Navy Embroidered Velvet Straight Kurta Pant Set, view 5",,,,,g,,,,,,,,,,,,,,,,,
navy-embroidered-velvet-straight-kurta-pant-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10031-navy-jul-06.jpg,6,"Navy Embroidered Velvet Straight Kurta Pant Set, view 6",,,,,,,,,,,,,,,,,,,,,,
navy-embroidered-velvet-straight-kurta-pant-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10031-navy-jul-07.jpg,7,"Navy Embroidered Velvet Straight Kurta Pant Set, view 7",,,,,,,,,,,,,,,,,,,,,,
white-black-printed-cotton-satin-kurta,MERGE,White & Black Printed Cotton Satin Kurta,"<p>This elegant White & Black Cotton Satin Kurta, crafted from soft and breathable cotton satin fabric. Featuring a graceful black design, contrast piping on the neckline, and three-quarter sleeves, this straight-fit kurta offers a perfect blend of comfort and sophistication.</p>",Raa Vedic,Kurta,"Kurta, Cotton Satin, 1500 to 2500, Under the Neem Trees, New Arrival, White & Black, Black, White, A Line, Printed",TRUE,Size,S,10016-WHITEBLA-S,320,shopify,10,deny,manual,1799,,TRUE,TRUE,8903629425969,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10016-white-and-black-jul-01.jpg,1,"White & Black Printed Cotton Satin Kurta, view 1",REPLACE,FALSE,White & Black Printed Cotton Satin Kurta | Raa Vedic,"This elegant White & Black Cotton Satin Kurta, crafted from soft and breathable cotton satin fabric. Featuring a graceful black design, contrast piping on the neckline, and three-quarter sleeves, this straight-fit kurta offers a perfect blend of comfort and sophistication.",g,active,10016,Cotton Satin,White & Black,A-Line Fit,V-Neck,Three-Quarter Sleeves,,,Floral Print,,Gentle Machine Wash or Hand Wash Separately,1,The model (height 5'6) is wearing a size M,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
white-black-printed-cotton-satin-kurta,,,,,,,,Size,M,10016-WHITEBLA-M,320,shopify,10,deny,manual,1799,,TRUE,TRUE,8903629425976,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10016-white-and-black-jul-02.jpg,2,"White & Black Printed Cotton Satin Kurta, view 2",,,,,g,,,,,,,,,,,,,,,,,
white-black-printed-cotton-satin-kurta,,,,,,,,Size,L,10016-WHITEBLA-L,320,shopify,10,deny,manual,1799,,TRUE,TRUE,8903629425983,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10016-white-and-black-jul-03.jpg,3,"White & Black Printed Cotton Satin Kurta, view 3",,,,,g,,,,,,,,,,,,,,,,,
white-black-printed-cotton-satin-kurta,,,,,,,,Size,XL,10016-WHITEBLA-XL,320,shopify,10,deny,manual,1799,,TRUE,TRUE,8903629425990,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10016-white-and-black-jul-04.jpg,4,"White & Black Printed Cotton Satin Kurta, view 4",,,,,g,,,,,,,,,,,,,,,,,
white-black-printed-cotton-satin-kurta,,,,,,,,Size,XXL,10016-WHITEBLA-XXL,320,shopify,10,deny,manual,1799,,TRUE,TRUE,8903629426003,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10016-white-and-black-jul-05.jpg,5,"White & Black Printed Cotton Satin Kurta, view 5",,,,,g,,,,,,,,,,,,,,,,,
white-black-printed-cotton-satin-kurta,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10016-white-and-black-jul-06.jpg,6,"White & Black Printed Cotton Satin Kurta, view 6",,,,,,,,,,,,,,,,,,,,,,
white-black-printed-cotton-satin-kurta,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10016-white-and-black-jul-07.jpg,7,"White & Black Printed Cotton Satin Kurta, view 7",,,,,,,,,,,,,,,,,,,,,,
white-black-embroidered-cotton-satin-straight-kurta-pant-dupatta-set,MERGE,White & Black Embroidered Cotton Satin Straight Kurta Pant Dupatta Set,"<p>This elegant White & Black Embroidered 3-Piece Kurta Set, crafted from premium cotton satin fabric that offers a soft feel, subtle sheen, and lasting comfort. The white straight-fit kurta is beautifully enhanced with intricate black embroidery on the yoke, sleeves, and hem, creating a striking monochrome look.</p><p>It is paired with matching straight pants and a lightweight black dupatta, making it a timeless ensemble for festive occasions, office wear, and family gatherings.</p>",Raa Vedic,Kurta Set,"3 Piece Set, Cotton Satin, 2500 to 3500, Under the Neem Trees, New Arrival, White & Black, Black, White, Bestseller, Straight Fit, Embroidered, Festive, Office Wear, Family Gatherings",TRUE,Size,S,10013-WHITEBLA-S,700,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629424665,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10013-white-and-black-jul-01.jpg,1,"White & Black Embroidered Cotton Satin Straight Kurta Pant Dupatta Set, view 1",REPLACE,FALSE,White & Black Embroidered Cotton Satin Straight Kurta Pant Dupatta Set,"This elegant White & Black Embroidered 3-Piece Kurta Set, crafted from premium cotton satin fabric that offers a soft feel, subtle sheen, and lasting comfort. The white straight-fit kurta is beautifully enhanced with intricate black embroidery on the yoke, sleeves, and hem, creating a striking monochrome look.It is pai",g,active,10013,Cotton Satin,White & Black,Straight Fit,Round V-Neck,Three-Quarter Sleeves,Solid Straight Cotton Satin Pants,Solid Black Dupatta,Embroidered,,Gentle Hand Wash,3,The model (height 5'6) is wearing a size M,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
white-black-embroidered-cotton-satin-straight-kurta-pant-dupatta-set,,,,,,,,Size,M,10013-WHITEBLA-M,700,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629424672,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10013-white-and-black-jul-02.jpg,2,"White & Black Embroidered Cotton Satin Straight Kurta Pant Dupatta Set, view 2",,,,,g,,,,,,,,,,,,,,,,,
white-black-embroidered-cotton-satin-straight-kurta-pant-dupatta-set,,,,,,,,Size,L,10013-WHITEBLA-L,700,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629424689,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10013-white-and-black-jul-03.jpg,3,"White & Black Embroidered Cotton Satin Straight Kurta Pant Dupatta Set, view 3",,,,,g,,,,,,,,,,,,,,,,,
white-black-embroidered-cotton-satin-straight-kurta-pant-dupatta-set,,,,,,,,Size,XL,10013-WHITEBLA-XL,700,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629424696,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10013-white-and-black-jul-04.jpg,4,"White & Black Embroidered Cotton Satin Straight Kurta Pant Dupatta Set, view 4",,,,,g,,,,,,,,,,,,,,,,,
white-black-embroidered-cotton-satin-straight-kurta-pant-dupatta-set,,,,,,,,Size,XXL,10013-WHITEBLA-XXL,700,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629424702,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10013-white-and-black-jul-05.jpg,5,"White & Black Embroidered Cotton Satin Straight Kurta Pant Dupatta Set, view 5",,,,,g,,,,,,,,,,,,,,,,,
white-black-embroidered-cotton-satin-straight-kurta-pant-dupatta-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10013-white-and-black-jul-06.jpg,6,"White & Black Embroidered Cotton Satin Straight Kurta Pant Dupatta Set, view 6",,,,,,,,,,,,,,,,,,,,,,
white-black-embroidered-cotton-satin-straight-kurta-pant-dupatta-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10013-white-and-black-jul-07.jpg,7,"White & Black Embroidered Cotton Satin Straight Kurta Pant Dupatta Set, view 7",,,,,,,,,,,,,,,,,,,,,,
white-navy-embroidered-rayon-straight-kurta-pant-dupatta-set,MERGE,White & Navy Embroidered Rayon Straight Kurta Pant Dupatta Set,"<p>This elegant White & Navy Embroidered 3-Piece Kurta Pant Dupatta Set, crafted from premium rayon fabric for a soft feel, breathable comfort, and a graceful drape. The straight-fit white kurta is beautifully enhanced with intricate navy blue embroidery on the yoke, sleeves, and hem, creating a timeless and sophisticated look.</p><p>Paired with matching straight pants and a lightweight white dupatta featuring embroidered lace detailing, this ensemble is perfect for festive celebrations, office wear, family gatherings, and special occasions.</p>",Raa Vedic,Kurta Set,"3 Piece Set, Rayon, 2500 to 3500, Under the Neem Trees, New Arrival, White & Navy, Navy, White, Straight Fit, Embroidered, Festive, Office Wear, Family Gatherings",TRUE,Size,S,10022-WHITENAV-S,700,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629425518,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10022-white-and-navy-jul-01.jpg,1,"White & Navy Embroidered Rayon Straight Kurta Pant Dupatta Set, view 1",REPLACE,FALSE,White & Navy Embroidered Rayon Straight Kurta Pant Dupatta Set | Raa V,"This elegant White & Navy Embroidered 3-Piece Kurta Pant Dupatta Set, crafted from premium rayon fabric for a soft feel, breathable comfort, and a graceful drape. The straight-fit white kurta is beautifully enhanced with intricate navy blue embroidery on the yoke, sleeves, and hem, creating a timeless and sophisticated",g,active,10022,Rayon,White & Navy,Straight Fit,Round Neck,Three-Quarter Sleeves,Solid Straight Rayon Pants,White Dupatta with Embroidered Lace Border,Embroidered,,Gentle Hand Wash or Machine Wash on Delicate Cycle,3,The model (height 5'6) is wearing a size M,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
white-navy-embroidered-rayon-straight-kurta-pant-dupatta-set,,,,,,,,Size,M,10022-WHITENAV-M,700,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629425525,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10022-white-and-navy-jul-02.jpg,2,"White & Navy Embroidered Rayon Straight Kurta Pant Dupatta Set, view 2",,,,,g,,,,,,,,,,,,,,,,,
white-navy-embroidered-rayon-straight-kurta-pant-dupatta-set,,,,,,,,Size,L,10022-WHITENAV-L,700,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629425532,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10022-white-and-navy-jul-03.jpg,3,"White & Navy Embroidered Rayon Straight Kurta Pant Dupatta Set, view 3",,,,,g,,,,,,,,,,,,,,,,,
white-navy-embroidered-rayon-straight-kurta-pant-dupatta-set,,,,,,,,Size,XL,10022-WHITENAV-XL,700,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629425549,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10022-white-and-navy-jul-04.jpg,4,"White & Navy Embroidered Rayon Straight Kurta Pant Dupatta Set, view 4",,,,,g,,,,,,,,,,,,,,,,,
white-navy-embroidered-rayon-straight-kurta-pant-dupatta-set,,,,,,,,Size,XXL,10022-WHITENAV-XXL,700,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629425556,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10022-white-and-navy-jul-05.jpg,5,"White & Navy Embroidered Rayon Straight Kurta Pant Dupatta Set, view 5",,,,,g,,,,,,,,,,,,,,,,,
white-navy-embroidered-rayon-straight-kurta-pant-dupatta-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10022-white-and-navy-jul-06.jpg,6,"White & Navy Embroidered Rayon Straight Kurta Pant Dupatta Set, view 6",,,,,,,,,,,,,,,,,,,,,,
white-navy-embroidered-rayon-straight-kurta-pant-dupatta-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10022-white-and-navy-jul-07.jpg,7,"White & Navy Embroidered Rayon Straight Kurta Pant Dupatta Set, view 7",,,,,,,,,,,,,,,,,,,,,,
white-navy-embroidered-rayon-straight-kurta-pant-dupatta-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10022-white-and-navy-jul-08.jpg,8,"White & Navy Embroidered Rayon Straight Kurta Pant Dupatta Set, view 8",,,,,,,,,,,,,,,,,,,,,,
maroon-off-white-embroidered-cotton-satin-straight-kurta-pant-dupatta,MERGE,Maroon & Off White Embroidered Cotton Satin Straight Kurta Pant Dupatta Set,"<p>This Maroon & Off White Embroidered 3-Piece Kurta Set, crafted from premium cotton satin fabric that offers a smooth finish, subtle sheen, and exceptional comfort. The off-white straight-fit kurta is beautifully adorned with intricate maroon embroidery on the yoke, sleeves, and hem, creating a rich ethnic appeal.</p><p>It is paired with matching straight pants and a graceful maroon dupatta, completing a sophisticated and festive look.</p>",Raa Vedic,Kurta Set,"3 Piece Set, Cotton Satin, 2500 to 3500, Under the Neem Trees, New Arrival, Maroon & Off White, Off White, Maroon, Straight Fit, Embroidered, Festive",TRUE,Size,S,10014-MAROONOF-S,700,shopify,10,deny,manual,2599,,TRUE,TRUE,8903629424719,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10014-maroon-and-off-white-jul-01.jpg,1,"Maroon & Off White Embroidered Cotton Satin Straight Kurta Pant Dupatta Set, view 1",REPLACE,FALSE,Maroon & Off White Embroidered Cotton Satin Straight Kurta Pant Dupatt,"This Maroon & Off White Embroidered 3-Piece Kurta Set, crafted from premium cotton satin fabric that offers a smooth finish, subtle sheen, and exceptional comfort. The off-white straight-fit kurta is beautifully adorned with intricate maroon embroidery on the yoke, sleeves, and hem, creating a rich ethnic appeal.It is ",g,active,10014,Cotton Satin,Maroon & Off White,Straight Fit,Round Neck,Three-Quarter Sleeves,Solid Straight Cotton Satin Pants,Solid Maroon Dupatta,Embroidered,,Gentle Hand Wash,3,The model (height 5'6) is wearing a size M,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
